Data Series,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Total Government Expenditure On Education (Thousand Dollars),"13,247,000","12,909,908","12,259,853","12,723,276","12,875,992","12,690,630","12,468,854","11,934,956","11,598,458","11,638,313","10,496,911","10,740,250","9,875,445","8,685,056","8,229,694","7,527,668","6,959,285","6,082,278","6,214,121","6,214,434","6,597,955","6,239,575","5,867,507","4,857,488","4,853,120","4,449,754","3,771,955","3,443,857","3,318,956","2,902,886","2,597,894","2,816,371","2,056,374","1,765,250","1,604,473","1,654,115","1,641,893","1,812,376","1,769,728","1,611,647","1,358,430","942,517","688,329","557,528","464,373","428,297","418,639","391,264","334,462","264,877","210,297","200,478","184,492","217,619","158,339","155,738","142,380","130,211","120,229","107,888","94,791","74,557","61,403"
  Recurrent Expenditure (Thousand Dollars),"13,038,000","12,604,777","11,766,853","11,932,177","12,429,006","12,079,538","11,812,194","11,235,741","10,712,445","10,664,868","9,637,312","9,697,793","8,998,709","7,837,909","7,476,521","6,785,625","6,351,717","5,215,299","4,974,724","4,996,791","4,824,395","4,766,584","4,276,896","3,256,874","3,167,425","3,347,775","2,997,158","2,682,419","2,486,241","2,210,329","2,043,178","2,356,794","1,794,522","1,619,760","1,461,858","1,352,551","1,280,364","1,388,186","1,272,559","1,107,113","983,751","712,732","589,419","503,137","424,030","380,327","358,461","339,870","308,005","255,090","201,512","187,145","173,599","199,062","146,797","135,051","124,076","112,805","103,358","94,644","82,307","67,650","57,100"
    Primary Schools (Thousand Dollars),"3,165,939","2,944,535","2,674,257","2,738,444","2,823,567","2,731,770","2,563,211","2,457,901","2,263,510","2,185,580","1,946,159","1,820,988","1,839,190","1,573,321","1,553,535","1,496,718","1,290,409","1,125,876","1,071,327","1,066,364","1,095,536","1,044,461","995,279","820,842","818,646","829,887","764,064","694,703","633,966","590,326","559,138","542,903","524,660","497,385","446,713","392,741","384,044","422,806","403,915","357,249","337,339","241,364","210,143","186,266","156,499","139,735","133,386","129,351","119,000","95,175","85,443","80,895","77,030","92,961","71,829","68,177","66,579","65,144","61,337","58,581","50,835","43,908","37,259"
    Secondary Schools & Junior Colleges (Thousand Dollars),"3,270,676","3,084,162","2,880,658","3,054,241","3,176,690","3,205,954","3,176,978","3,106,955","3,001,876","2,912,565","2,680,062","2,517,230","2,568,469","2,235,912","2,175,783","2,121,570","1,832,546","1,566,402","1,503,050","1,429,183","1,397,564","1,262,302","1,166,827","1,000,479","973,076","1,019,209","944,274","831,401","759,658","664,452","616,059","597,506","570,969","533,091","486,227","424,465","402,396","431,866","392,387","348,200","323,163","244,940","211,840","181,545","119,794","103,202","95,146","88,900","80,004","62,280","46,488","44,466","41,090","47,812","44,698","37,711","31,387","24,923","21,212","17,206","14,751","12,466","10,409"
    Institute Of Technical Education (Thousand Dollars),"499,499","498,915","470,521","473,599","489,278","471,088","459,931","432,961","399,949","376,896","351,658","346,106","328,067","262,509","281,262","253,506","249,154","203,973","191,135","171,067","169,499","162,648","148,416","126,371","120,441","124,332","112,899","109,670","105,648","103,100","89,000","87,580","84,300","79,551","72,857","64,191","68,966","80,295","65,662","55,121","47,401","38,900","29,694","25,000","50,029","48,055","45,171","45,627","42,162","34,592","23,901","22,526","18,727","18,609","6,335","6,589","5,729","4,458","3,376","2,362","1,217","1,233",765
    Tertiary (Thousand Dollars),"4,285,779","4,225,708","4,155,545","4,307,399","4,608,243","4,427,056","4,569,272","4,302,171","4,170,881","4,367,236","3,846,318","4,274,059","3,554,419","3,072,091","2,865,478","2,410,538","2,548,044","1,765,894","1,697,571","1,829,834","1,647,121","1,794,287","1,506,313","1,018,907","1,010,985","1,133,984","999,364","900,171","861,674","727,482","638,704","1,034,535","526,477","434,842","388,999","408,608","361,644","382,727","350,152","291,782","229,057","156,105","109,650","86,532","75,212","69,351","66,524","59,865","50,375","40,134","31,065","27,953","24,931","27,538","18,827","17,805","16,155","14,736","12,735","12,277","11,248","6,684","5,816"
      Universities (Thousand Dollars),"3,007,388","2,939,737","2,906,300","3,008,764","3,243,605","3,046,680","3,138,310","2,897,770","2,736,642","2,969,921","2,536,971","2,973,812","2,305,921","2,014,807","1,808,987","1,491,382","1,719,156","1,058,239","1,029,869","1,034,804","973,779","1,114,554","898,505","569,971","537,450","656,619","546,120","520,289","502,999","431,554","412,524","841,154","351,476","288,571","259,014","293,443","240,805","253,811","240,448","197,947","156,435","108,527","74,557","58,185","48,570","42,568","43,563","41,048","36,630","30,026","22,985","21,185","18,797","18,719","13,151","11,986","11,411","10,337","9,255","8,744","8,335","3,689","3,144"
      National Institute Of Education (Thousand Dollars),"124,908","123,306","122,227","124,176","105,071","74,774","80,290","86,526","94,941","99,668","113,312","119,266","123,625","112,474","110,378","102,243","100,147","84,722","73,256","80,766","94,791","87,000","83,753","61,697","53,862","48,131","59,620","40,922","38,392","33,335","29,850","23,373","23,591","19,395","16,773","15,910","15,554","18,482","21,268","18,817","17,746","13,955","11,089","7,831","10,257","11,043","9,113","6,487","5,785","3,593","2,630","2,568","2,534","3,469","2,176","1,979","2,044","1,999","1,630","1,533","1,318","1,200","1,440"
      Polytechnics (Thousand Dollars),"1,153,483","1,162,665","1,127,018","1,174,459","1,259,567","1,305,602","1,350,672","1,317,875","1,339,298","1,297,647","1,196,035","1,180,981","1,124,873","944,810","946,113","816,913","728,741","622,933","594,446","714,264","578,551","592,733","524,055","387,239","419,673","429,234","393,624","338,960","320,283","262,593","196,330","170,008","151,410","126,876","113,212","99,255","105,285","110,434","88,436","75,018","54,876","33,623","24,004","20,516","16,385","15,740","13,848","12,330","7,960","6,515","5,450","4,200","3,600","5,350","3,500","3,840","2,700","2,400","1,850","2,000","1,595","1,795","1,233"
    Others (Thousand Dollars),"1,816,107","1,851,457","1,585,872","1,358,494","1,331,228","1,243,670","1,042,802","935,753","876,229","822,591","813,115","739,410","708,564","694,076","600,463","503,293","431,564","553,154","511,641","500,343","514,675","502,886","460,061","290,275","244,277","240,363","176,557","146,474","125,295","124,969","140,277","94,270","88,116","74,891","67,062","62,546","63,314","70,492","60,443","54,761","46,791","31,423","28,092","23,794","22,496","19,984","18,234","16,127","16,464","22,909","14,614","11,304","11,821","12,141","5,108","4,769","4,226","3,545","4,698","4,218","4,256","3,359","2,850"
